ENSG0000414	LOC_Os01g08200
ENSG0000415	LOC_Os01g08220
ENSG0000416	LOC_Os01g08260
ENSG0000417	LOC_Os01g08270
ENSG0000418	LOC_Os01g08280
ENSG0000419	LOC_Os01g08290
ENSG0000420	LOC_Os01g08300
ENSG0000421	LOC_Os01g08310
ENSG0000422	LOC_Os01g08320
ENSG0000423	LOC_Os01g08340
ENSG0000424	LOC_Os01g08370
ENSG0000425	LOC_Os01g08380
ENSG0000426	LOC_Os01g08400
ENSG0000427	LOC_Os01g08410
ENSG0000428	LOC_Os01g08420
ENSG0000429	LOC_Os01g08430
ENSG0000430	LOC_Os01g08440
ENSG0000431	LOC_Os01g08450
ENSG0000432	LOC_Os01g08460
ENSG0000433	LOC_Os01g08510
ENSG0000434	LOC_Os01g08520
ENSG0000435	LOC_Os01g08540
ENSG0000436	LOC_Os01g08550
ENSG0000437	LOC_Os01g08560
ENSG0000438	LOC_Os01g08570
ENSG0000439	LOC_Os01g08580
ENSG0000440	LOC_Os01g08600
ENSG0000441	LOC_Os01g08650
ENSG0000442	LOC_Os01g08660
ENSG0000443	LOC_Os01g08670
ENSG0000444	LOC_Os01g08680
ENSG0000445	LOC_Os01g08690
ENSG0000446	LOC_Os01g08700
ENSG0000447	LOC_Os01g08710
ENSG0000448	LOC_Os01g08740
ENSG0000449	LOC_Os01g08750
ENSG0000450	LOC_Os01g08760
ENSG0000451	LOC_Os01g08770
ENSG0000452	LOC_Os01g08780
ENSG0000453	LOC_Os01g08790
ENSG0000454	LOC_Os01g08814
ENSG0000455	LOC_Os01g08820
ENSG0000456	LOC_Os01g08830
ENSG0000457	LOC_Os01g08840
ENSG0000458	LOC_Os01g08850
ENSG0000459	LOC_Os01g08860
ENSG0000460	LOC_Os01g08890
ENSG0000461	LOC_Os01g08940
ENSG0000462	LOC_Os01g08950
ENSG0000463	LOC_Os01g08960
ENSG0000464	LOC_Os01g08970
ENSG0000465	LOC_Os01g08990
ENSG0000466	LOC_Os01g09000
ENSG0000467	LOC_Os01g09010
ENSG0000468	LOC_Os01g09020
ENSG0000469	LOC_Os01g09030
ENSG0000470	LOC_Os01g09080
ENSG0000471	LOC_Os01g09090
ENSG0000472	LOC_Os01g09100
ENSG0000473	LOC_Os01g09120
ENSG0000474	LOC_Os01g09140
ENSG0000475	LOC_Os01g09150
ENSG0000476	LOC_Os01g09190
ENSG0000477	LOC_Os01g09200
ENSG0000478	LOC_Os01g09230
ENSG0000479	LOC_Os01g09246
ENSG0000480	LOC_Os01g09252
ENSG0000481	LOC_Os01g09260
ENSG0000482	LOC_Os01g09280
ENSG0000483	LOC_Os01g09300
ENSG0000484	LOC_Os01g09305
ENSG0000485	LOC_Os01g09320
ENSG0000486	LOC_Os01g09360
ENSG0000487	LOC_Os01g09384
ENSG0000488	LOC_Os01g08000
ENSG0000489	LOC_Os01g09420
ENSG0000490	LOC_Os01g09430
ENSG0000491	LOC_Os01g09450
ENSG0000492	LOC_Os01g09460
ENSG0000493	LOC_Os01g09470
ENSG0000494	LOC_Os01g09500
ENSG0000495	LOC_Os01g09510
